Security,Description,Category,Subcategory,Benchmark,Fees
CSSX5E SW Equity,iShares Core EURO STOXX 50 UCITS ETF Class EUR ACC (Switzerland),Equities,Exchange Traded Products,SX5T Index,0.1
SD3EEX GR Equity,iShares EURO STOXX Select Dividend 30 UCITS ETF DE (Germany),Equities,Exchange Traded Products,SD3T Index,0.31
SDJE50 GY Equity,Invesco EURO STOXX 50 UCITS ETF Class A (Xetra),Equities,Exchange Traded Products,SX5T Index,0.05
XD5S LN Equity,Xtrackers MSCI EMU UCITS ETF Class 2C - GBP HEDGED (London),Equities,Exchange Traded Products,MSDEEMUN Index,0.17
FEZ UP Equity,SPDR EURO STOXX 50 ETF (NYSE Arca),Equities,Exchange Traded Products,SX5U Index,0.29
S7XE GR Equity,Invesco EURO STOXX Optimised Banks UCITS ETF (Germany),Equities,Exchange Traded Products,SXO7T Index,0.3
ISX5 LN Equity,iShares Core EURO STOXX 50 UCITS ETF Class EUR ACC (London),Equities,Exchange Traded Products,SX5T Index,0.1
SUBEEX GY Equity,iShares Dow Jones Eurozone Sustainability Screened UCITS ETF DE (Xetra),Equities,Exchange Traded Products,DJSZXAET Index,0.41
VX5E LN Equity,Vanguard Euro Stoxx 50 UCITS ETF Class EUR DIST (London),Equities,Exchange Traded Products,SX5T Index,0.1
50E FP Equity,HSBC EURO STOXX 50 UCITS ETF (Euronext Paris),Equities,Exchange Traded Products,SX5T Index,0.05
SX5EEX GT Equity,iShares Core EURO STOXX 50 UCITS ETF DE (Xetra ETF),Equities,Exchange Traded Products,SX5T Index,0.1
ZPRL GY Equity,SPDR EURO STOXX Low Volatility UCITS ETF (Xetra),Equities,Exchange Traded Products,SXLV1T Index,0.3
E50EUA GR Equity,UBS ETF EURO STOXX 50 UCITS ETF Class EUR A-DIS (Germany),Equities,Exchange Traded Products,SX5T Index,0.15
XD5E GR Equity,Xtrackers MSCI EMU UCITS ETF Class 1D (Germany),Equities,Exchange Traded Products,MSDEEMUN Index,0.12
